date,time,code,name,currency,price,diff,per_diff
14/10/2019,09:30,RIO,RIO TINTO,GBX,4140.50,-69.00,-1.64
14/10/2019,09:30,RR.,ROLLS-ROYCE HLG,GBX,743.40,+0.20,+0.03
14/10/2019,09:30,RBS,ROYAL BANK SCOT,GBX,211.40,-6.90,-3.16
14/10/2019,09:30,RSA,RSA INS.,GBX,514.40,-9.80,-1.87
14/10/2019,09:30,SGE,SAGE GRP.,GBX,704.80,+11.80,+1.70
14/10/2019,09:30,SBRY,SAINSBURY(J),GBX,209.80,-4.80,-2.24
14/10/2019,09:30,SDR,SCHRODERS,GBX,2899.00,-70.00,-2.36
14/10/2019,09:30,SMT,SCOTTISH MORT,GBX,497.40,-2.60,-0.52
14/10/2019,09:30,SGRO,SEGRO,GBX,813.40,-8.80,-1.07
14/10/2019,09:30,SVT,SEVERN TRENT,GBX,2180.00,-35.00,-1.58
14/10/2019,09:30,SN.,SMITH&NEPHEW,GBX,1867.00,+7.00,+0.38
14/10/2019,09:30,SMDS,SMITH(DS),GBX,339.00,-6.00,-1.74
14/10/2019,09:30,SMIN,SMITHS GROUP,GBX,1566.50,-11.00,-0.70
14/10/2019,09:30,SKG,SMURFIT KAP.,GBX,2482.00,-48.00,-1.90
14/10/2019,09:30,SPX,SPIRAX-SARCO,GBX,7525.00,-40.00,-0.53
14/10/2019,09:30,SSE,SSE,GBX,1282.00,-27.00,-2.06
14/10/2019,09:30,STJ,ST.JAMES'S PLAC,GBX,985.20,-19.30,-1.92
14/10/2019,09:30,STAN,STAND.CHART.,GBX,647.40,-8.00,-1.22
14/10/2019,09:30,SLA,STD LIFE ABER,GBX,280.40,-5.60,-1.96
14/10/2019,09:30,TW.,TAYLOR WIMPEY,GBX,160.45,-3.30,-2.02
14/10/2019,09:30,TSCO,TESCO,GBX,238.00,-4.20,-1.73
14/10/2019,09:30,TUI,TUI AG,GBX,988.00,-17.00,-1.69
14/10/2019,09:30,ULVR,UNILEVER,GBX,4666.50,+19.50,+0.42
14/10/2019,09:30,UU.,UTD. UTILITIES,GBX,826.60,-17.20,-2.04
14/10/2019,09:30,VOD,VODAFONE GRP.,GBX,162.38,+1.08,+0.67
14/10/2019,09:30,WTB,WHITBREAD,GBX,4195.00,0.00,+0.00
14/10/2019,09:30,WPP,WPP,GBX,947.60,+16.60,+1.78
14/10/2019,09:45,III,3I GRP.,GBX,1079.50,-13.00,-1.19
14/10/2019,09:45,ABF,A.B.FOOD,GBX,2153.00,-28.00,-1.28
14/10/2019,09:45,ADM,ADMIRAL GRP,GBX,2048.00,-28.00,-1.35
14/10/2019,09:45,AAL,ANGLO AMERICAN,GBX,1945.80,-38.80,-1.96
14/10/2019,09:45,ANTO,ANTOFAGASTA,GBX,864.00,-11.80,-1.35
14/10/2019,09:45,AHT,ASHTEAD GRP.,GBX,2145.00,-30.00,-1.38
14/10/2019,09:45,AZN,ASTRAZENECA,GBX,6957.00,+41.00,+0.59
14/10/2019,09:45,AUTO,AUTO TRAD,GBX,531.60,-8.00,-1.48
14/10/2019,09:45,AVV,AVEVA GRP,GBX,3742.00,+24.00,+0.65
14/10/2019,09:45,AV.,AVIVA,GBX,395.70,-9.50,-2.35
14/10/2019,09:45,BA.,BAE SYS.,GBX,556.20,+0.20,+0.04
14/10/2019,09:45,BARC,BARCLAYS,GBX,157.38,-3.10,-1.93
14/10/2019,09:45,BDEV,BARRATT DEVEL.,GBX,639.00,-15.40,-2.35
14/10/2019,09:45,BKG,BERKELEY GP.HLD,GBX,4344.00,-11.00,-0.25
14/10/2019,09:45,BHP,BHP GROUP,GBX,1701.20,-19.20,-1.12
14/10/2019,09:45,BP.,BP,GBX,494.75,+1.20,+0.24
14/10/2019,09:45,BATS,BR.AMER.TOB.,GBX,2721.50,+11.50,+0.42
14/10/2019,09:45,BLND,BR.LAND,GBX,585.40,-5.60,-0.95
14/10/2019,09:45,BT.A,BT GROUP,GBX,195.68,-1.32,-0.67
14/10/2019,09:45,BNZL,BUNZL,GBX,2000.00,-25.00,-1.24
14/10/2019,09:45,BRBY,BURBERRY GRP,GBX,2000.00,-4.00,-0.20
14/10/2019,09:45,CCL,CARNIVAL,GBX,3113.00,-6.00,-0.19
14/10/2019,09:45,CNA,CENTRICA,GBX,67.56,-1.20,-1.75
